                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                 1.3118,                 0.9284,                 1.2071,                0.71878,                0.60454,                0.67519,                0.36618,                 1.5896,                 1.1242,                 1.3621,              0.0088516,              0.0088516,              0.0088516
                    119,                 1.2981,                0.92387,                 1.2052,                0.75545,                  0.594,                0.67831,                 0.3743,                 1.5783,                 1.1002,                 1.3537,              0.0088417,              0.0088417,              0.0088417
                    120,                  1.285,                 0.9157,                 1.1951,                0.71835,                0.60972,                0.68328,                0.37256,                 1.5749,                 1.1127,                 1.3504,              0.0088318,              0.0088318,              0.0088318
                    121,                 1.2972,                0.92888,                 1.2059,                0.72588,                0.61994,                0.69059,                0.37683,                 1.5738,                 1.0948,                 1.3531,              0.0088219,              0.0088219,              0.0088219
                    122,                 1.2968,                0.92778,                  1.209,                0.73664,                0.61994,                0.69114,                  0.378,                 1.5692,                 1.0995,                 1.3463,               0.008812,               0.008812,               0.008812
                    123,                 1.2886,                0.91588,                 1.2014,                0.72282,                0.62561,                0.68885,                0.37587,                 1.5712,                 1.0879,                  1.355,              0.0088021,              0.0088021,              0.0088021
                    124,                 1.2835,                0.90664,                 1.1969,                0.74982,                0.61205,                0.69314,                0.37937,                 1.5706,                 1.0861,                 1.3614,              0.0087922,              0.0087922,              0.0087922
                    125,                 1.2854,                0.91915,                 1.1997,                0.73502,                0.60211,                0.68682,                0.38086,                 1.5617,                 1.0996,                 1.3448,              0.0087823,              0.0087823,              0.0087823
                    126,                 1.2877,                 0.9145,                 1.1986,                0.72616,                0.61888,                0.69399,                0.38617,                  1.562,                 1.0819,                 1.3453,              0.0087724,              0.0087724,              0.0087724
                    127,                  1.279,                0.90076,                 1.1961,                0.72233,                0.62156,                0.68941,                0.38065,                 1.5543,                 1.0798,                 1.3452,              0.0087625,              0.0087625,              0.0087625
                    128,                 1.2718,                 0.9029,                 1.1873,                 0.7167,                0.62642,                0.69007,                0.38119,                 1.5576,                 1.0876,                 1.3446,              0.0087526,              0.0087526,              0.0087526
                    129,                 1.2754,                0.90037,                 1.1955,                0.74422,                0.61264,                0.69164,                0.37802,                 1.5644,                 1.0902,                 1.3494,              0.0087427,              0.0087427,              0.0087427
                    130,                 1.2786,                0.90873,                  1.195,                0.74583,                 0.6094,                0.68777,                0.37861,                 1.5603,                 1.0848,                 1.3441,              0.0087328,              0.0087328,              0.0087328
                    131,                 1.2626,                0.89651,                 1.1832,                0.73972,                0.61912,                0.69217,                0.38227,                 1.5478,                 1.0809,                 1.3365,              0.0087229,              0.0087229,              0.0087229
                    132,                  1.268,                0.90009,                 1.1895,                 0.7289,                0.62313,                0.69333,                0.38418,                 1.5495,                 1.0754,                 1.3294,               0.008713,               0.008713,               0.008713
                    133,                 1.2788,                 0.8984,                 1.1961,                0.73391,                0.62804,                0.70047,                0.38556,                 1.5398,                  1.073,                 1.3301,              0.0087031,              0.0087031,              0.0087031
                    134,                 1.2698,                0.89381,                  1.189,                0.73335,                0.63128,                0.70218,                0.38879,                  1.535,                 1.0582,                 1.3281,              0.0086932,              0.0086932,              0.0086932
                    135,                 1.2566,                0.88795,                 1.1819,                0.73862,                0.63614,                0.70276,                0.38926,                 1.5311,                  1.065,                 1.3278,              0.0086833,              0.0086833,              0.0086833
                    136,                 1.2618,                0.89206,                 1.1858,                0.72835,                0.62966,                0.68963,                0.38521,                 1.5402,                 1.0732,                  1.338,              0.0086734,              0.0086734,              0.0086734
                    137,                 1.2516,                0.88409,                 1.1786,                0.75041,                0.62617,                0.69616,                 0.3874,                 1.5376,                 1.0572,                  1.335,              0.0086635,              0.0086635,              0.0086635
